gender,treat,weight
male,Con,0.3694
male,Con,0.3831
male,Con,0.4473
male,Con,0.3747
male,Con,0.4341
male,Con,0.403
male,Con,0.3583
male,Con,0.4132
male,Con,0.3947
male,Con,0.4262
female,Con,0.3847
female,Con,0.3696
female,Con,0.4161
female,Con,0.297
female,Con,0.3674
female,Con,0.3966
female,Con,0.4253
female,Con,0.2493
female,Con,0.4087
female,Con,0.3703
female,Con,0.4105
male,JH,0.4429
male,JH,0.4116
male,JH,0.4446
male,JH,0.4484
male,JH,0.4211
male,JH,0.4074
male,JH,0.4346
male,JH,0.42
male,JH,0.4097
male,JH,0.4188
male,JH,0.4491
female,JH,0.4143
female,JH,0.3931
female,JH,0.3918
female,JH,0.3763
female,JH,0.4048
female,JH,0.4008
female,JH,0.3948
female,JH,0.4312
female,JH,0.4699
female,JH,0.4302