group,thickness,treat
JH_male,3.54,JH
JH_male,2.95,JH
JH_male,3.13,JH
JH_male,2.82,JH
JH_male,3.36,JH
JH_male,3.05,JH
JH_male,2.61,JH
JH_male,2.95,JH
JH_male,2.73,JH
JH_male,3.32,JH
JH_female,2.73,JH
JH_female,2.69,JH
JH_female,2.78,JH
JH_female,2.92,JH
JH_female,2.96,JH
JH_female,3.21,JH
JH_female,2.81,JH
JH_female,2.84,JH
JH_female,2.82,JH
Con_male,2.69,Con
Con_male,2.89,Con
Con_male,3.09,Con
Con_male,2.69,Con
Con_male,2.1,Con
Con_male,2.69,Con
Con_male,2.59,Con
Con_male,2.89,Con
Con_male,3.02,Con
Con_female,2.71,Con
Con_female,2.4,Con
Con_female,2.84,Con
Con_female,2.59,Con
Con_female,2.53,Con
Con_female,2.82,Con
Con_female,2.86,Con
Con_female,2.16,Con
Con_female,2.43,Con
Con_female,2.78,Con